ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
PG,Procter & Gamble Company (The),Procter & Gamble Company (The),Consumer Packaged Goods,"Procter & Gamble Co is a consumer goods company. The firm markets its products internationally through various channels which include mass merchandisers, grocery stores, membership club stores, drug stores, and department stores.",http://www.pginvestor.com,,David S. Taylor,New York Stock Exchange,2.45E+11,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
UN,Unilever NV,Unilever NV,Consumer Packaged Goods,"Unilever NV is engaged in the household products industry. The company is a supplier of fast moving consumer goods. Its areas of operations are personal care, home care, foods and refreshment.",http://www.unilever.nl,UN.png,Paul G J M Polman,New York Stock Exchange,1.45E+11,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
UL,Unilever PLC,Unilever PLC,Consumer Packaged Goods,"Unilever PLC is engaged in the household products industry. The company is a supplier of fast moving consumer goods. Its areas of operations are personal care, home care, foods and refreshment.",http://www.unilever.com,UL.png,Alan Jope,New York Stock Exchange,1.43E+11,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
MDLZ,Mondelez International Inc.,Mondelez International,Consumer Packaged Goods,"Mondelez International Inc is associated with the confectionery industry. It manufactures and markets snack food and beverage products like biscuits, chocolate, gum and candy, and beverages.The sale of biscuits generate maximum revenue for the company.",http://www.mondelezinternational.com,MDLZ.png,Dirk Van de Put,Nasdaq Global Select,66876429090,Consumer Defensive,Consumer Defensive,Confectioners,Consumer Packaged Goods 
KHC,The Kraft Heinz Company,The Kraft Heinz Company,Consumer Packaged Goods,"The Kraft Heinz Co is a food and beverage company. It manufactures and market food and beverage products, including condiments and sauces, cheese and dairy, meals, meat, refreshment beverages, and other grocery products.",http://www.kraftheinzcompany.com,KHC.png,Bernardo Hees,Nasdaq Global Select,57959736614,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
CL,Colgate-Palmolive Company,Colgate-Palmolive Company,Consumer Packaged Goods,"Colgate-Palmolive Co is a consumer products company. It provides services such as oral care, personal care, home care and pet nutrition.",https://www.colgatepalmolive.com,CL.png,Ian M. Cook,New York Stock Exchange,56540585520,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
EL,Estee Lauder Companies Inc. (The),Estee Lauder Companies (The),Consumer Packaged Goods,"The Estee Lauder Companies Inc is a beauty products manufacturer providing Skin care, Makeup, Fragrance and Hair care services.",http://www.elcompanies.com,EL.png,Fabrizio Freda,New York Stock Exchange,54355310792,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
KMB,Kimberly-Clark Corporation,Kimberly-Clark,Consumer Packaged Goods,"Kimberly-Clark Corp is engaged in the manufacturing and marketing of a range of products made from natural or synthetic fibers using technologies in fibers, nonwovens, and absorbency. It offers personal care, consumer tissue, and K-C professional.",http://www.kimberly-clark.com,KMB.png,Michael D. Hsu,New York Stock Exchange,38608950000,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
GIS,General Mills Inc.,General Mills,Consumer Packaged Goods,"General Mills Inc is a global manufacturer and marketer of branded consumer foods, such as ready-to-eat breakfast cereals, refrigerated dough and other baking items, snack foods, ice cream, and yogurt.",http://www.generalmills.com,GIS.png,Jeffrey L. Harmening,New York Stock Exchange,26155505032,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,Consumer Packaged Goods,"Archer-Daniels Midland Co is a major processor of oilseeds, corn, wheat, and other agricultural commodities. The company's end products include vegetable oil and meal, corn sweeteners, flour, feed ingredients, and ethanol.",http://www.adm.com,ADM.png,Juan R. Luciano,New York Stock Exchange,24943068244,Consumer Defensive,Consumer Defensive,Farm Products,Consumer Packaged Goods 
HRL,Hormel Foods Corporation,Hormel Foods,Consumer Packaged Goods,"Hormel Foods Corp is engaged in manufacturing and sale of variety of food products primarily, pork and turkey and the marketing of those products throughout the United States and internationally.",http://www.hormelfoods.com,HRL.png,James P. Snee,New York Stock Exchange,22474402597,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
TSN,Tyson Foods Inc.,Tyson Foods,Consumer Packaged Goods,"Tyson Foods Inc processes and distributes value-added beef, chicken pork, prepared foods and related allied products, including animal and pet food ingredients. Its product brands are Wright, Jimmy Dean, Hillshire Farm, Ball Park and Sara Lee.",http://www.tysonfoodsinc.com,TSN.png,Noel W. White,New York Stock Exchange,22446643283,Consumer Defensive,Consumer Defensive,Farm Products,Consumer Packaged Goods 
HSY,The Hershey Company,The Hershey Company,Consumer Packaged Goods,"The Hershey Co operates as a confectionery manufacturer in the United States engaged in the chocolate industry. The firm has more than 80 brands, including Hershey's, Reese's, Kit Kat, Twizzlers, and Ice Breakers with a business presence across the world.",http://www.thehersheycompany.com,,Michele G. Buck,New York Stock Exchange,22182977425,Consumer Defensive,Consumer Defensive,Confectioners,Consumer Packaged Goods 
K,Kellogg Company,Kellogg Company,Consumer Packaged Goods,"Kellogg Co is engaged in the manufacturing and marketing of ready-to-eat cereal and convenience foods. Its products include cereal, cookies, crackers, and other packaged foods.",http://www.kelloggcompany.com,,Steven A. Cahillane,New York Stock Exchange,20429134747,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
CLX,Clorox Company (The),Clorox Company (The),Consumer Packaged Goods,"Clorox Co is engaged in the household product market. The Company sells its products primarily through grocery stores, e-commerce channels and medical supply distributors.",http://www.thecloroxcompany.com,CLX.png,Benno Dorer,New York Stock Exchange,20217539123,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
MKC,McCormick & Company Incorporated,McCormick & Company Incorporated,Consumer Packaged Goods,"McCormick & Co Inc acts as a manufacturer, marketer, and distributor of spices, herbs, extracts, seasonings, and other flavorings. It serves its products to quick-service restaurants, retail grocery chains, and packaged food processors.",http://www.mccormickcorporation.com,MKC.png,Lawrence E. Kurzius,New York Stock Exchange,16266129446,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
MKC.V,McCormick & Company Incorporated,McCormick & Company Incorporated,Consumer Packaged Goods,"McCormick & Co Inc acts as a manufacturer, marketer, and distributor of spices, herbs, extracts, seasonings, and other flavorings. It serves its products to quick-service restaurants, retail grocery chains, and packaged food processors.",http://www.mccormickcorporation.com,MKC.V.png,Lawrence E. Kurzius,New York Stock Exchange,16243664242,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
CHD,Church & Dwight Company Inc.,Church & Dwight Company,Consumer Packaged Goods,"Church & Dwight Co Inc is engaged in the household products industry. It manufactures and markets personal care products under brands like Oxiclean, Spinbrush, First Response and Trojan.",http://www.churchdwight.com,CHD.png,Matthew T. Farrell,New York Stock Exchange,16096232514,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
SJM,J.M. Smucker Company (The),J.M. Smucker Company (The),Consumer Packaged Goods,"JM Smucker Co operates in the consumer foods industry. It deals with a range of products spanning food, beverage and pet products under well-known brands such as Folgers, Crisco, Milk-Bone, and Kibbles 'n Bits.",http://www.smuckers.com,SJM.png,Mark T. Smucker,New York Stock Exchange,11950860662,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
CPB,Campbell Soup Company,Campbell Soup Company,Consumer Packaged Goods,"Campbell Soup Co operates in the packaged foods industry. The products within its scope include meals and beverages, biscuits and snacks.",http://www.campbellsoupcompany.com,CPB.png,Keith R. McLoughlin,New York Stock Exchange,10539026130,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
CAG,ConAgra Brands Inc.,ConAgra Brands,Consumer Packaged Goods,"Conagra Brands Inc is in the business of trading and merchandising packaged food in a variety of categories and in various retail channels across frozen, refrigerated, and shelf-stable temperature classes in North America.",http://www.conagrabrands.com,CAG.png,Sean M. Connolly,New York Stock Exchange,10523861837,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
LW,Lamb Weston Holdings Inc.,Lamb Weston,Consumer Packaged Goods,"Lamb Weston Holdings Inc is a producer, provider, and marketer of value-added frozen potato products. It is a supplier of frozen potato products internationally. Its products include puff, chips, steak cut fries, trim fries, appetizers, among others.",http://www.lambweston.com,LW.png,Thomas P. Werner,New York Stock Exchange,10452207268,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
NWL,Newell Brands Inc.,Newell Brands,Consumer Packaged Goods,"Newell Brands Inc is engaged in the household products market. Its products include stationery material such as pens and markers, food storage products and hygiene systems.",http://www.newellbrands.com,NWL.png,Michael B. Polk,Nasdaq Global Select,10082880000,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
HLF,Herbalife Nutrition Ltd.,Herbalife Nutrition,Consumer Packaged Goods,"Herbalife Nutrition Ltd is a nutrition company. The company has five revenue segments: Weight Management; Targeted Nutrition; Energy, Sports, and Fitness; Outer Nutrition; and Literature, Promotional, and Other.",http://www.herbalife.com,HLF.png,Michael O. Johnson,New York Stock Exchange,8981907760,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
BG,Bunge Limited,Bunge Limited,Consumer Packaged Goods,Bunge Ltd is an agribusiness and food company with integrated operations. It acts as an oilseed processor and seller of packaged vegetable oils. The company also grows and processes Brazilian sugarcane to produce sugar and ethanol.,http://www.bunge.com,BG.png,Gregory A. Heckman,New York Stock Exchange,7634275576,Consumer Defensive,Consumer Defensive,Farm Products,Consumer Packaged Goods 
INGR,Ingredion Incorporated,Ingredion Incorporated,Consumer Packaged Goods,"Ingredion Inc is a major supplier of high-quality food and industrial ingredients to customers around the world. The ingredients are used by customers in the food, beverage, animal feed, paper and corrugating, and brewing industries, among others.",http://www.ingredion.com,INGR.png,James Zallie,New York Stock Exchange,6880896152,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
POST,Post Holdings Inc.,Post,Consumer Packaged Goods,"Post Holdings Inc is a consumer packaged goods company producing and selling cereals, egg products, refrigerated potato and dairy items, private-label nut butters, and protein shakes, bars, and powders.",http://www.postholdings.com,POST.png,Robert V. Vitale,New York Stock Exchange,6412744852,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
COTY,Coty Inc. Class A,Coty,Consumer Packaged Goods,"Coty Inc is an American cosmetics company. Its products include fragrances, color cosmetics, hair, body and skin care products. The company markets its products under Calvin Klein, Chloe, Clairol, Marc Jacobs, Wella, Rimmel, and Bourjois brands worldwide.",http://www.coty.com,COTY.png,Pierre Laubies,New York Stock Exchange,5738213749,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
BRFS,BRF S.A.,BRF S.A.,Consumer Packaged Goods,"BRF SA produces fresh and frozen protein foods that include poultry, pork, bovine, processed foods, and other. The company also offers margarine, mayonnaise, mustard, ketchup, and frozen prepared entrees, such as lasagna and pizzas.",http://www.brf-br.com/ir,,Lorival Nogueira Luz Junior,New York Stock Exchange,5282318303,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
PPC,Pilgrim's Pride Corporation,Pilgrim's Pride,Consumer Packaged Goods,"Pilgrims Pride Corp engages in processing, marketing, and distribution fresh, frozen and value-added chicken products to retailers, grocers, distributors and food service operators. It offers chickens as a whole and different cuts.",http://www.pilgrims.com,PPC.png,William W. Lovette,Nasdaq Global Select,5004511246,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
LANC,Lancaster Colony Corporation,Lancaster Colony,Consumer Packaged Goods,"Lancaster Colony Corp is a manufacturer and marketer of specialty food products for the retail and food service markets. The Company offers dressings, sauces, croutons, fruit glazes, vegetable dips, fruit dips, frozen breads and yeast rolls.",http://www.lancastercolony.com,,David Ciesinski,Nasdaq Global Select,4286430874,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
FLO,Flowers Foods Inc.,Flowers Foods,Consumer Packaged Goods,"Flowers Foods Inc functions in the food and beverage industry. It primarily manufactures and sells packaged bakery products under the brand names such as Nature's Own, Whitewheat and Wonder Bread.",http://www.flowersfoods.com,FLO.png,Allen L. Shiver,New York Stock Exchange,4152526626,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
NUS,Nu Skin Enterprises Inc.,Nu Skin Enterprises,Consumer Packaged Goods,"Nu Skin Enterprises Inc develops and distributes consumer products including anti-aging skin products, body care, hair care, men's care, oral care, sun protection and cosmetics under Nu Skin and Pharmanex brands.",http://www.nuskin.com,,Ritch N. Wood,New York Stock Exchange,3717080607,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
